,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
17269,ARL17B,2,2,517,0.4%,"No
"
17270,UNKL,26,25,517,4.8%,"No
"
17271,ACTL6B,23,20,517,3.9%,"No
"
17272,BIN2,21,18,517,3.5%,"No
"
17273,EOLA2,11,10,517,1.9%,"No
"
17274,ZDHHC19,12,12,517,2.3%,"No
"
17275,CRYBG3,115,48,517,9.3%,"No
"
17276,AMOTL2,33,29,517,5.6%,"No
"
17277,PRKAG2,25,20,517,3.9%,"No
"
17278,ZNF107,68,40,517,7.7%,"No
"
17279,POLK,36,27,517,5.2%,"No
"
17280,SNX9,24,20,517,3.9%,"No
"
17281,DDX41,21,18,517,3.5%,"Yes
"
17282,C8ORF58,16,15,517,2.9%,"No
"
17283,EVC2,67,37,517,7.2%,"No
"
17284,SMAP2,14,13,517,2.5%,"No
"
17285,WDR13,38,28,517,5.4%,"No
"
17286,ACBD3,35,25,517,4.8%,"No
"
17287,METTL17,23,22,517,4.3%,"No
"
17288,MFSD1,23,20,517,3.9%,"No
"
17289,SPATA21,20,17,517,3.3%,"No
"
17290,SUCO,68,43,517,8.3%,"No
"
17291,ANAPC7,18,14,517,2.7%,"No
"
17292,ANAPC5,43,26,517,5.0%,"No
"
17293,SCARA3,37,26,517,5.0%,"No
"
17294,MAGEC2,32,23,517,4.4%,"No
"
17295,FAM8A1,11,11,517,2.1%,"No
"
17296,LANCL3,19,18,517,3.5%,"No
"
17297,MIGA1,38,27,517,5.2%,"No
"
17298,SMURF2,45,33,517,6.4%,"No
"
17299,CCDC136,56,39,517,7.5%,"No
"
17300,RUSF1,11,11,517,2.1%,"No
"
17301,SMYD3,20,17,517,3.3%,"Yes
"
17302,MTARC1,17,13,517,2.5%,"No
"
17303,ATPAF1,6,6,517,1.2%,"No
"
17304,TNS3,76,50,517,9.7%,"No
"
17305,YTHDF2,24,19,517,3.7%,"No
"
17306,HPCAL4,6,6,517,1.2%,"No
"
17307,VGLL1,20,19,517,3.7%,"No
"
17308,RNF138,15,14,517,2.7%,"No
"
17309,IP6K2,14,13,517,2.5%,"No
"
17310,PCYOX1,22,19,517,3.7%,"No
"
17311,FHIP2B,24,14,517,2.7%,"No
"
17312,FAM216B,5,5,517,1.0%,"No
"
17313,TEX38,8,8,517,1.5%,"No
"
17314,GAREM1,47,35,517,6.8%,"No
"
17315,PARP12,27,20,517,3.9%,"No
"
17316,CREB3L2,20,18,517,3.5%,"Yes
"
17317,ZNF574,38,30,517,5.8%,"No
"
17318,S100PBP,9,7,517,1.4%,"No
"
17319,IPPK,19,14,517,2.7%,"No
"
17320,NEMP2,15,12,517,2.3%,"No
"
17321,MEAF6,8,7,517,1.4%,"No
"
17322,MROH7,2,2,517,0.4%,"No
"
17323,PRRX2,6,5,517,1.0%,"No
"
17324,LCMT1,18,16,517,3.1%,"No
"
17325,GULP1,16,15,517,2.9%,"No
"
17326,LRRK2,216,79,517,15.3%,"Yes
"
17327,REV1,63,42,517,8.1%,"No
"
17328,RHCG,26,21,517,4.1%,"No
"
17329,ILRUN,5,5,517,1.0%,"No
"
17330,CCDC14,32,28,517,5.4%,"No
"
17331,PCED1A,23,20,517,3.9%,"No
"
17332,ENGASE,30,24,517,4.6%,"No
"
17333,RMND5B,19,16,517,3.1%,"No
"
17334,CFAP68,6,6,517,1.2%,"No
"
17335,MTHFSD,23,20,517,3.9%,"No
"
17336,FNDC3B,48,39,517,7.5%,"No
"
17337,SFMBT1,32,26,517,5.0%,"No
"
17338,GPR89B,7,6,517,1.2%,"No
"
