,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
9828,FOXP2,22,18,534,3.4%,"No
"
9829,RTL10,6,6,534,1.1%,"No
"
9830,ZDHHC14,11,11,534,2.1%,"No
"
9831,CENPU,11,11,534,2.1%,"No
"
9832,SAP30L,4,4,534,0.7%,"No
"
9833,MSANTD2,4,4,534,0.7%,"No
"
9834,STEAP4,16,12,534,2.2%,"No
"
9835,CPA5,13,12,534,2.2%,"No
"
9836,CLEC6A,3,3,534,0.6%,"No
"
9837,ENPP6,13,7,534,1.3%,"No
"
9838,NBEAL1,50,31,534,5.8%,"No
"
9839,LRP5L,5,5,534,0.9%,"No
"
9840,FAM114A1,19,16,534,3.0%,"No
"
9841,UBE3D,8,8,534,1.5%,"No
"
9842,TSTD2,7,7,534,1.3%,"No
"
9843,FNDC9,6,6,534,1.1%,"No
"
9844,DDX60L,36,29,534,5.4%,"No
"
9845,ZNF597,11,10,534,1.9%,"No
"
9846,IL34,1,1,534,0.2%,"No
"
9847,BICDL2,7,6,534,1.1%,"No
"
9848,SYT8,6,6,534,1.1%,"No
"
9849,TMEM237,8,8,534,1.5%,"No
"
9850,ZNF782,18,11,534,2.1%,"No
"
9851,CDK15,6,6,534,1.1%,"No
"
9852,KIR3DX1,8,8,534,1.5%,"No
"
9853,DTD1,6,6,534,1.1%,"No
"
9854,RTN4R,4,4,534,0.7%,"No
"
9855,MIDN,9,8,534,1.5%,"No
"
9856,C19ORF38,4,4,534,0.7%,"No
"
9857,TMEM255B,8,8,534,1.5%,"No
"
9858,ANKRD13D,6,6,534,1.1%,"No
"
9859,ANKRD42,5,5,534,0.9%,"No
"
9860,DUS3L,5,5,534,0.9%,"No
"
9861,DDX60,25,18,534,3.4%,"No
"
9862,ITLN1,4,4,534,0.7%,"No
"
9863,KIF21A,42,32,534,6.0%,"No
"
9864,PMEPA1,4,3,534,0.6%,"No
"
9865,FAM24B,3,3,534,0.6%,"No
"
9866,CARMIL1,25,23,534,4.3%,"No
"
