,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
997,ABTB1,1,1,149,0.7%,"No
"
998,PUS1,1,1,149,0.7%,"No
"
999,PIDD1,1,1,149,0.7%,"No
"
1000,TXNDC16,1,1,149,0.7%,"No
"
1001,NF1,2,2,149,1.3%,"Yes
"
1002,VPS72,1,1,149,0.7%,"No
"
1003,CASP3,1,1,149,0.7%,"No
"
1004,MLX,1,1,149,0.7%,"No
"
1005,FRMPD1,1,1,149,0.7%,"No
"
1006,AAK1,1,1,149,0.7%,"No
"
1007,MLLT3,1,1,149,0.7%,"Yes
"
1008,CNTFR,1,1,149,0.7%,"No
"
