,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
7782,NARS2,1,1,366,0.3%,"No
"
7783,ACTL10,1,1,366,0.3%,"No
"
7784,ASGR1,1,1,366,0.3%,"No
"
7785,NSUN7,1,1,366,0.3%,"No
"
7786,EZHIP,3,3,366,0.8%,"Yes
"
7787,H2AJ,1,1,366,0.3%,"No
"
7788,E2F8,3,3,366,0.8%,"No
"
7789,SSH1,2,2,366,0.5%,"No
"
7790,INAVA,5,5,366,1.4%,"No
"
7791,C20ORF202,1,1,366,0.3%,"No
"
7792,ASL,1,1,366,0.3%,"No
"
7793,IFT122,1,1,366,0.3%,"No
"
7794,TBC1D17,1,1,366,0.3%,"No
"
7795,YIPF1,3,3,366,0.8%,"No
"
7796,EXOC1,2,2,366,0.5%,"No
"
7797,URI1,1,1,366,0.3%,"No
"
7798,RBM27,6,5,366,1.4%,"No
"
7799,ASMT,2,2,366,0.5%,"No
"
7800,EED,3,2,366,0.5%,"Yes
"
7801,GFOD1,1,1,366,0.3%,"No
"
7802,ZNF83,1,1,366,0.3%,"No
"
7803,GET3,1,1,366,0.3%,"No
"
7804,SNX4,1,1,366,0.3%,"No
"
7805,SEMA5B,6,6,366,1.6%,"No
"
7806,NGLY1,1,1,366,0.3%,"No
"
7807,TTLL7,3,3,366,0.8%,"No
"
7808,SH3TC1,2,2,366,0.5%,"No
"
7809,GBF1,1,1,366,0.3%,"No
"
7810,CTNNAL1,2,2,366,0.5%,"No
"
