,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
8595,FCGRT,2,2,255,0.8%,"No
"
8596,IGSF1,5,1,255,0.4%,"No
"
8597,FCGR3A,2,2,255,0.8%,"No
"
8598,FCGR2B,1,1,255,0.4%,"Yes
"
8599,FCGR2A,3,2,255,0.8%,"No
"
8600,C1ORF185,1,1,255,0.4%,"No
"
8601,CHMP4C,1,1,255,0.4%,"No
"
8602,SLC11A2,1,1,255,0.4%,"No
"
8603,NRAP,2,2,255,0.8%,"No
"
8604,NRAS,1,1,255,0.4%,"Yes
"
8605,FDXR,2,1,255,0.4%,"No
"
8606,FHOD1,2,2,255,0.8%,"No
"
8607,POM121L12,1,1,255,0.4%,"No
"
8608,IL2RG,1,1,255,0.4%,"No
"
8609,IL2RB,4,4,255,1.6%,"No
"
8610,THAP5,1,1,255,0.4%,"No
"
8611,PARL,1,1,255,0.4%,"No
"
8612,IL1RN,1,1,255,0.4%,"No
"
8613,PDILT,1,1,255,0.4%,"No
"
8614,FDPS,2,2,255,0.8%,"No
"
8615,N6AMT1,1,1,255,0.4%,"No
"
8616,IL1R1,1,1,255,0.4%,"No
"
8617,DROSHA,4,4,255,1.6%,"Yes
"
8618,NPTX1,2,2,255,0.8%,"No
"
8619,NPTX2,3,3,255,1.2%,"No
"
8620,NPY1R,2,2,255,0.8%,"No
"
8621,NPY2R,1,1,255,0.4%,"No
"
8622,IGSF22,2,2,255,0.8%,"No
"
8623,FAM3D,1,1,255,0.4%,"No
"
8624,FGA,2,2,255,0.8%,"No
"
8625,FES,2,2,255,0.8%,"Yes
"
8626,CTNNA3,6,5,255,2.0%,"No
"
8627,FER,1,1,255,0.4%,"No
"
8628,DDX25,1,1,255,0.4%,"No
"
8629,BRD7,1,1,255,0.4%,"No
"
8630,IL6R,1,1,255,0.4%,"No
"
8631,HAUS3,2,2,255,0.8%,"No
"
8632,FRMPD2,5,4,255,1.6%,"No
"
8633,FYCO1,1,1,255,0.4%,"No
"
8634,GPC4,1,1,255,0.4%,"No
"
8635,RPTN,2,2,255,0.8%,"No
"
8636,RNF133,1,1,255,0.4%,"No
"
8637,TBK1,2,2,255,0.8%,"No
"
8638,TCHHL1,6,5,255,2.0%,"No
"
8639,IL5RA,2,2,255,0.8%,"No
"
8640,MYLIP,1,1,255,0.4%,"No
"
8641,TAGLN3,1,1,255,0.4%,"No
"
8642,NRCAM,3,3,255,1.2%,"No
"
8643,NRDC,5,4,255,1.6%,"No
"
8644,NRF1,1,1,255,0.4%,"No
"
8645,POTEF,1,1,255,0.4%,"No
"
8646,FGF6,1,1,255,0.4%,"Yes
"
8647,IL9R,1,1,255,0.4%,"No
"
8648,FGF3,2,2,255,0.8%,"Yes
"
8649,CXCR2,1,1,255,0.4%,"No
"
8650,TLR10,1,1,255,0.4%,"No
"
8651,CXCR1,1,1,255,0.4%,"No
"
8652,FGD1,2,2,255,0.8%,"No
"
8653,CXCL8,1,1,255,0.4%,"No
"
8654,FGB,2,2,255,0.8%,"No
"
8655,SLCO5A1,1,1,255,0.4%,"No
"
8656,ADAMTS12,4,4,255,1.6%,"No
"
8657,FGFR4,1,1,255,0.4%,"Yes
"
8658,IL12RB2,3,3,255,1.2%,"No
"
8659,IL12RB1,1,1,255,0.4%,"No
"
8660,GPC5,3,3,255,1.2%,"No
"
8661,FGFR3,1,1,255,0.4%,"Yes
"
8662,FGFR1,3,3,255,1.2%,"Yes
"
8663,GLIS3,1,1,255,0.4%,"No
"
8664,FGF13,1,1,255,0.4%,"No
"
8665,UGT3A2,4,4,255,1.6%,"No
"
8666,FCRLB,1,1,255,0.4%,"No
"
8667,IL10RA,2,2,255,0.8%,"No
"
8668,COPG2,1,1,255,0.4%,"No
"
8669,FHL3,1,1,255,0.4%,"No
"
8670,RANBP6,1,1,255,0.4%,"No
"
8671,FHL1,1,1,255,0.4%,"No
"
8672,SMR3A,1,1,255,0.4%,"No
"
8673,FHIT,1,1,255,0.4%,"Yes
"
8674,FGR,1,1,255,0.4%,"No
"
8675,FGL1,1,1,255,0.4%,"No
"
8676,IL13RA2,1,1,255,0.4%,"No
"
8677,FGG,3,3,255,1.2%,"No
"
8678,HTR3D,1,1,255,0.4%,"No
"
8679,NPAS4,1,1,255,0.4%,"No
"
8680,RGL4,1,1,255,0.4%,"No
"
8681,TMEM268,1,1,255,0.4%,"No
"
8682,NBEA,4,4,255,1.6%,"No
"
8683,VEGFD,1,1,255,0.4%,"No
"
8684,EFHB,1,1,255,0.4%,"No
"
8685,LGI3,1,1,255,0.4%,"No
"
8686,JPH1,3,3,255,1.2%,"No
"
8687,GOT1L1,1,1,255,0.4%,"No
"
8688,FOXC1,1,1,255,0.4%,"No
"
8689,FOXF2,1,1,255,0.4%,"No
"
8690,TICAM1,2,2,255,0.8%,"No
"
8691,SHE,1,1,255,0.4%,"No
"
8692,LOXHD1,3,3,255,1.2%,"No
"
8693,FKBP5,1,1,255,0.4%,"No
"
8694,FKBP4,1,1,255,0.4%,"No
"
8695,TRMT44,1,1,255,0.4%,"No
"
8696,SLC51A,1,1,255,0.4%,"No
"
8697,MDGA1,1,1,255,0.4%,"No
"
8698,FOXI1,3,3,255,1.2%,"No
"
8699,OLFML1,1,1,255,0.4%,"No
"
8700,OR10A4,1,1,255,0.4%,"No
"
8701,ZNF786,1,1,255,0.4%,"No
"
8702,KRTAP4-2,1,1,255,0.4%,"No
"
8703,PTPDC1,2,2,255,0.8%,"No
"
8704,ESPL1,6,6,255,2.4%,"No
"
8705,PPP6R2,2,2,255,0.8%,"No
"
8706,KLHDC8B,1,1,255,0.4%,"No
"
8707,GARRE1,2,2,255,0.8%,"No
"
8708,RNASE10,2,2,255,0.8%,"No
"
8709,DHX34,2,2,255,0.8%,"No
"
8710,ST18,6,5,255,2.0%,"No
"
8711,BLTP2,2,2,255,0.8%,"No
"
8712,PCDHGA8,1,1,255,0.4%,"No
"
8713,HERPUD1,1,1,255,0.4%,"Yes
"
8714,ULK2,2,2,255,0.8%,"No
"
8715,SEMA3E,1,1,255,0.4%,"No
"
8716,GPRIN2,1,1,255,0.4%,"No
"
8717,PPP1R14C,1,1,255,0.4%,"No
"
8718,C1QTNF9,1,1,255,0.4%,"No
"
8719,OR10K2,1,1,255,0.4%,"No
"
8720,DOCK8,8,8,255,3.1%,"No
"
8721,OR6C3,1,1,255,0.4%,"No
"
8722,GPALPP1,2,2,255,0.8%,"No
"
8723,ZNF331,2,2,255,0.8%,"Yes
"
8724,FAM131B,2,2,255,0.8%,"No
"
8725,AQR,2,2,255,0.8%,"No
"
8726,ADAMTSL2,1,1,255,0.4%,"No
"
8727,SEC14L5,6,6,255,2.4%,"No
"
8728,ECE2,5,5,255,2.0%,"No
"
8729,SART3,2,1,255,0.4%,"No
"
8730,SOX14,1,1,255,0.4%,"No
"
8731,HDAC9,1,1,255,0.4%,"No
"
8732,OR6Y1,1,1,255,0.4%,"No
"
8733,DOCK4,2,2,255,0.8%,"No
"
8734,OR6K3,1,1,255,0.4%,"No
"
8735,RIPK4,4,4,255,1.6%,"No
"
8736,YOD1,1,1,255,0.4%,"No
"
8737,ADA,3,2,255,0.8%,"No
"
8738,ADAM8,1,1,255,0.4%,"No
"
8739,ZYG11A,2,2,255,0.8%,"No
"
8740,AP1AR,1,1,255,0.4%,"No
"
8741,ADARB2,4,4,255,1.6%,"No
"
8742,GSAP,3,3,255,1.2%,"No
"
8743,ADCY1,1,1,255,0.4%,"No
"
8744,ZNF646,1,1,255,0.4%,"No
"
8745,ADCY2,4,4,255,1.6%,"No
"
8746,RAB11FIP3,2,2,255,0.8%,"No
"
8747,ADCY3,1,1,255,0.4%,"No
"
8748,TMEM63A,2,1,255,0.4%,"No
"
8749,TLR9,2,2,255,0.8%,"No
"
8750,STRADB,1,1,255,0.4%,"No
"
8751,SECISBP2L,2,2,255,0.8%,"No
"
8752,ZCCHC18,1,1,255,0.4%,"No
"
8753,ACAP1,3,3,255,1.2%,"No
"
8754,ZNF536,4,4,255,1.6%,"No
"
8755,EEA1,6,4,255,1.6%,"No
"
8756,BCAR3,2,2,255,0.8%,"No
"
8757,ARHGAP32,4,4,255,1.6%,"No
"
8758,PSG8,1,1,255,0.4%,"No
"
8759,TARM1,2,2,255,0.8%,"No
"
8760,FAM78B,1,1,255,0.4%,"No
"
8761,ADCY5,1,1,255,0.4%,"No
"
8762,ADCY7,2,2,255,0.8%,"No
"
8763,ADCY8,3,3,255,1.2%,"No
"
8764,ADCY9,1,1,255,0.4%,"No
"
8765,ADD1,1,1,255,0.4%,"No
"
8766,SRPX,1,1,255,0.4%,"No
"
8767,ADD2,1,1,255,0.4%,"No
"
8768,TAGLN2,1,1,255,0.4%,"No
"
8769,KNTC1,6,6,255,2.4%,"No
"
8770,CCDC117,2,2,255,0.8%,"No
"
8771,USP34,2,2,255,0.8%,"No
"
8772,ULK1,4,4,255,1.6%,"No
"
8773,SETD1A,4,4,255,1.6%,"Yes
"
8774,UXT,1,1,255,0.4%,"No
"
8775,SNPH,1,1,255,0.4%,"No
"
8776,RIPOR2,1,1,255,0.4%,"No
"
8777,DUSP18,1,1,255,0.4%,"No
"
8778,BBOX1,2,2,255,0.8%,"No
"
8779,TBKBP1,3,3,255,1.2%,"No
"
8780,LTBP4,7,6,255,2.4%,"No
"
8781,ZSCAN12,1,1,255,0.4%,"No
"
8782,TDRD5,1,1,255,0.4%,"No
"
8783,STARD8,3,3,255,1.2%,"No
"
8784,ABHD4,1,1,255,0.4%,"No
"
8785,FRRS1,1,1,255,0.4%,"No
"
8786,PKNOX2,1,1,255,0.4%,"No
"
8787,ADH1C,1,1,255,0.4%,"No
"
8788,ADH4,2,2,255,0.8%,"No
"
