,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
80,SPTSSA,1,1,490,0.2%,"No
"
81,IRF5,2,2,490,0.4%,"No
"
82,IRF7,1,1,490,0.2%,"No
"
83,LRGUK,2,2,490,0.4%,"No
"
84,IRS1,1,1,490,0.2%,"Yes
"
85,ORC1,1,1,490,0.2%,"No
"
86,ORC2,1,1,490,0.2%,"No
"
87,NPRL2,1,1,490,0.2%,"No
"
88,SH3PXD2B,2,2,490,0.4%,"No
"
89,CDH11,1,1,490,0.2%,"Yes
"
90,CYP4X1,1,1,490,0.2%,"No
"
91,ITGA9,1,1,490,0.2%,"No
"
92,ITGAD,2,2,490,0.4%,"No
"
93,ITGAL,3,3,490,0.6%,"No
"
94,ITGAM,1,1,490,0.2%,"No
"
95,GPRIN3,1,1,490,0.2%,"No
"
96,FOLR3,1,1,490,0.2%,"No
"
97,LRP11,1,1,490,0.2%,"No
"
98,FOLR2,1,1,490,0.2%,"No
"
99,KASH5,1,1,490,0.2%,"No
"
100,FAM222A,1,1,490,0.2%,"No
"
101,ZNF785,2,2,490,0.4%,"No
"
102,UTP4,2,2,490,0.4%,"No
"
103,SPTA1,8,8,490,1.6%,"No
"
104,ERLIN1,2,2,490,0.4%,"No
"
105,CDH18,1,1,490,0.2%,"No
"
106,SPTAN1,1,1,490,0.2%,"No
"
107,FOLH1,2,2,490,0.4%,"No
"
108,CDH16,1,1,490,0.2%,"No
"
109,TTC8,1,1,490,0.2%,"No
"
110,TGOLN2,1,1,490,0.2%,"No
"
111,ITGA3,3,3,490,0.6%,"No
"
112,SPRR2E,1,1,490,0.2%,"No
"
113,PTPN22,1,1,490,0.2%,"No
"
114,ITGA7,3,3,490,0.6%,"No
"
115,PDLIM5,1,1,490,0.2%,"No
"
116,ST6GALNAC2,1,1,490,0.2%,"No
"
117,ITGB3,1,1,490,0.2%,"No
"
118,ITGB4,2,1,490,0.2%,"No
"
119,ITGB6,1,1,490,0.2%,"No
"
120,CDKN2C,1,1,490,0.2%,"Yes
"
121,OR6C75,1,1,490,0.2%,"No
"
122,CDKN2B,1,1,490,0.2%,"Yes
"
123,FRYL,2,2,490,0.4%,"No
"
124,ZNF341,1,1,490,0.2%,"No
"
125,CDKN2A,1,1,490,0.2%,"Yes
"
126,TMEM87B,1,1,490,0.2%,"No
"
127,ZNF688,1,1,490,0.2%,"No
"
128,CDKN1A,2,2,490,0.4%,"Yes
"
129,FPR1,1,1,490,0.2%,"No
"
130,RIPOR1,1,1,490,0.2%,"No
"
131,ITGAV,1,1,490,0.2%,"No
"
132,SPTBN1,1,1,490,0.2%,"No
"
133,SPTB,1,1,490,0.2%,"No
"
134,CBLN3,1,1,490,0.2%,"No
"
135,ITGAX,1,1,490,0.2%,"No
"
136,SQLE,1,1,490,0.2%,"No
"
137,ITGB1,2,2,490,0.4%,"No
"
138,SPTBN2,1,1,490,0.2%,"No
"
139,ITGB2,2,2,490,0.4%,"No
"
140,ARID3B,1,1,490,0.2%,"Yes
"
141,SRC,2,2,490,0.4%,"Yes
"
142,BOD1L1,3,3,490,0.6%,"No
"
143,SRP72,1,1,490,0.2%,"No
"
144,SRP68,2,2,490,0.4%,"No
"
145,ARMH3,1,1,490,0.2%,"No
"
146,ST8SIA6,1,1,490,0.2%,"No
"
147,DNAAF8,1,1,490,0.2%,"No
"
148,AMMECR1L,1,1,490,0.2%,"No
"
149,INTS1,4,4,490,0.8%,"No
"
150,CORO6,1,1,490,0.2%,"No
"
151,ITGB8,2,2,490,0.4%,"No
"
152,ITIH3,1,1,490,0.2%,"No
"
153,PNLDC1,2,2,490,0.4%,"No
"
154,MSGN1,1,1,490,0.2%,"No
"
155,PNN,2,2,490,0.4%,"No
"
156,NXF3,1,1,490,0.2%,"No
"
157,SPRYD3,1,1,490,0.2%,"No
"
158,ZNF287,1,1,490,0.2%,"No
"
159,CORO7,3,3,490,0.6%,"No
"
160,TMEM47,1,1,490,0.2%,"No
"
161,CBX8,1,1,490,0.2%,"No
"
162,KCTD13,1,1,490,0.2%,"No
"
163,RNF128,1,1,490,0.2%,"No
"
164,CDX4,1,1,490,0.2%,"No
"
165,SRPK1,2,2,490,0.4%,"No
"
166,SRPRA,1,1,490,0.2%,"No
"
167,RO60,1,1,490,0.2%,"No
"
168,PCNX4,1,1,490,0.2%,"No
"
169,SSTR2,1,1,490,0.2%,"No
"
170,CES1,1,1,490,0.2%,"No
"
171,CENPF,1,1,490,0.2%,"No
"
172,PRDM4,1,1,490,0.2%,"No
"
173,SEPTIN5,1,1,490,0.2%,"Yes
"
174,TUBGCP6,1,1,490,0.2%,"No
"
175,SEPTIN4,1,1,490,0.2%,"No
"
176,ATE1,1,1,490,0.2%,"No
"
177,PTCHD1,1,1,490,0.2%,"No
"
178,KRR1,1,1,490,0.2%,"No
"
179,ANGPTL4,1,1,490,0.2%,"No
"
180,POLR2A,1,1,490,0.2%,"No
"
181,MAGEA1,1,1,490,0.2%,"No
"
182,POLR2B,1,1,490,0.2%,"No
"
183,DNAI2,1,1,490,0.2%,"No
"
184,UHRF2,1,1,490,0.2%,"No
"
185,KIAA1549L,2,2,490,0.4%,"No
"
186,KCNK18,2,2,490,0.4%,"No
"
187,KCTD3,1,1,490,0.2%,"No
"
188,CEP83,1,1,490,0.2%,"No
"
189,POLB,1,1,490,0.2%,"No
"
190,MYLK2,1,1,490,0.2%,"No
"
191,COMMD1,1,1,490,0.2%,"No
"
192,POLD1,2,2,490,0.4%,"Yes
"
193,OBSCN,2,2,490,0.4%,"No
"
194,CIT,1,1,490,0.2%,"No
"
195,SSX1,1,1,490,0.2%,"Yes
"
196,MAGEB10,1,1,490,0.2%,"No
"
197,POLE2,1,1,490,0.2%,"No
"
198,CFTR,2,2,490,0.4%,"No
"
199,STAR,1,1,490,0.2%,"No
"
200,MAGEA11,1,1,490,0.2%,"No
"
201,STAT2,1,1,490,0.2%,"Yes
"
202,MDGA2,1,1,490,0.2%,"No
"
203,STAT4,1,1,490,0.2%,"Yes
"
204,DCAF8L1,2,2,490,0.4%,"No
"
205,UNC13C,1,1,490,0.2%,"No
"
206,FFAR4,1,1,490,0.2%,"No
"
