,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
1074,IRX2,15,15,440,3.4%,"No
"
1075,ABCA4,103,74,440,16.8%,"No
"
1076,ERLIN2,4,3,440,0.7%,"No
"
1077,ABL1,32,27,440,6.1%,"Yes
"
1078,AOC1,42,36,440,8.2%,"No
"
1079,NUDT6,1,1,440,0.2%,"No
"
1080,ABL2,26,23,440,5.2%,"Yes
"
1081,ERG28,5,3,440,0.7%,"No
"
1082,NUDT5,2,2,440,0.5%,"No
"
1083,ABR,13,12,440,2.7%,"No
"
1084,NUDT4,6,6,440,1.4%,"No
"
1085,ZC3H3,31,29,440,6.6%,"No
"
1086,ASB17,9,9,440,2.0%,"No
"
1087,BTNL9,10,10,440,2.3%,"No
"
1088,SSPOP,15,13,440,3.0%,"No
"
1089,FCHO1,36,29,440,6.6%,"No
"
1090,PCGF6,3,3,440,0.7%,"No
"
1091,ZIC4,19,16,440,3.6%,"No
"
1092,CABS1,17,14,440,3.2%,"No
"
1093,QRFPR,15,12,440,2.7%,"No
"
1094,STON2,42,34,440,7.7%,"No
"
1095,ZZEF1,74,63,440,14.3%,"No
"
1096,DDIT4L,10,10,440,2.3%,"No
"
1097,ANKLE2,8,8,440,1.8%,"No
"
1098,C4ORF17,21,20,440,4.5%,"No
"
1099,ZCRB1,2,2,440,0.5%,"No
"
1100,DCUN1D4,7,7,440,1.6%,"No
"
1101,PRAM1,20,20,440,4.5%,"No
"
1102,LRCH1,12,9,440,2.0%,"No
"
1103,PCBD2,2,2,440,0.5%,"No
"
1104,SOX21,1,1,440,0.2%,"No
"
1105,ARL6,2,2,440,0.5%,"No
"
1106,KRTAP13-1,13,12,440,2.7%,"No
"
1107,NUDT3,1,1,440,0.2%,"No
"
1108,PSIP1,8,8,440,1.8%,"Yes
"
1109,SLC41A2,18,16,440,3.6%,"No
"
1110,FSTL1,3,3,440,0.7%,"No
"
1111,USP44,19,18,440,4.1%,"No
"
1112,ACAA1,10,10,440,2.3%,"No
"
1113,WDHD1,20,16,440,3.6%,"No
"
1114,ACACA,66,49,440,11.1%,"No
"
1115,ACACB,54,48,440,10.9%,"No
"
1116,ACADL,12,11,440,2.5%,"No
"
1117,ACADM,5,5,440,1.1%,"No
"
1118,ACADS,6,6,440,1.4%,"No
"
1119,STRAP,8,8,440,1.8%,"No
"
1120,MARVELD2,27,24,440,5.5%,"No
"
1121,ACADSB,10,9,440,2.0%,"No
"
1122,FAM107A,5,5,440,1.1%,"No
"
1123,ACADVL,8,8,440,1.8%,"No
"
1124,ADAMTS7,64,51,440,11.6%,"No
"
1125,OR9K2,23,23,440,5.2%,"No
"
1126,ACAT1,4,4,440,0.9%,"No
"
1127,INSL6,12,12,440,2.7%,"No
"
1128,TTLL13,17,14,440,3.2%,"No
"
1129,ACAT2,2,2,440,0.5%,"No
"
1130,ADAMTS6,50,39,440,8.9%,"No
"
1131,CLCC1,4,4,440,0.9%,"No
"
1132,DQX1,26,24,440,5.5%,"No
"
1133,SEPTIN6,11,11,440,2.5%,"Yes
"
1134,TBC1D9,52,40,440,9.1%,"No
"
1135,TSPAN11,3,3,440,0.7%,"No
"
1136,FRMD4B,28,25,440,5.7%,"No
"
1137,GRAMD4,14,13,440,3.0%,"No
"
1138,CIC,33,33,440,7.5%,"Yes
"
1139,NCDN,9,8,440,1.8%,"No
"
1140,BAZ1A,31,26,440,5.9%,"No
"
1141,BAZ2A,47,40,440,9.1%,"No
"
1142,ZNF277,10,9,440,2.0%,"No
"
1143,LZTS1,8,8,440,1.8%,"No
"
1144,PIRT,2,2,440,0.5%,"No
"
1145,ASIC2,26,25,440,5.7%,"No
"
1146,ASIC1,15,15,440,3.4%,"No
"
1147,AMER1,36,34,440,7.7%,"Yes
"
1148,ACHE,15,14,440,3.2%,"No
"
1149,ACLY,17,15,440,3.4%,"No
"
1150,ACO1,19,18,440,4.1%,"No
"
1151,CDC37,9,9,440,2.0%,"No
"
1152,ACR,14,12,440,2.7%,"No
"
1153,PKIG,1,1,440,0.2%,"No
"
1154,RASSF6,19,19,440,4.3%,"No
"
1155,IL1RAPL1,35,32,440,7.3%,"No
"
1156,AHSA2P,7,7,440,1.6%,"No
"
1157,CLASP2,34,28,440,6.4%,"No
"
1158,CAMTA2,29,28,440,6.4%,"No
"
1159,POGZ,22,21,440,4.8%,"No
"
1160,TMEM59L,9,9,440,2.0%,"No
"
1161,WIPF3,7,7,440,1.6%,"No
"
1162,COLGALT2,12,11,440,2.5%,"No
"
1163,RAD54B,21,20,440,4.5%,"No
"
1164,PLXND1,46,39,440,8.9%,"No
"
1165,ACAD11,24,24,440,5.5%,"No
"
1166,ATRIP,12,12,440,2.7%,"Yes
"
1167,DIXDC1,15,15,440,3.4%,"No
"
1168,RASGRP3,34,32,440,7.3%,"No
"
1169,LRRIQ1,61,46,440,10.5%,"No
"
1170,ATP10B,61,49,440,11.1%,"No
"
1171,WDR75,19,15,440,3.4%,"No
"
1172,TNKS1BP1,36,33,440,7.5%,"No
"
1173,RAB3GAP2,25,22,440,5.0%,"No
"
1174,CIPC,12,10,440,2.3%,"No
"
1175,DMC1,18,17,440,3.9%,"No
"
1176,KAT7,9,9,440,2.0%,"Yes
"
1177,DISP2,26,23,440,5.2%,"No
"
1178,GLMN,6,4,440,0.9%,"No
"
1179,ZNF394,6,6,440,1.4%,"No
"
