,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
3067,HS6ST2,1,1,494,0.2%,"No
"
3068,GJA5,3,3,494,0.6%,"No
"
3069,GJA4,1,1,494,0.2%,"No
"
3070,GJA3,1,1,494,0.2%,"No
"
3071,NLRP4,6,6,494,1.2%,"No
"
3072,GJB5,2,2,494,0.4%,"No
"
3073,GJB2,1,1,494,0.2%,"No
"
3074,ZNF583,2,2,494,0.4%,"No
"
3075,GJA8,4,4,494,0.8%,"No
"
3076,ACTBL2,4,4,494,0.8%,"No
"
3077,KLK14,1,1,494,0.2%,"No
"
3078,KLK12,2,2,494,0.4%,"No
"
3079,GK,2,2,494,0.4%,"No
"
3080,SOST,1,1,494,0.2%,"No
"
3081,EMILIN3,3,3,494,0.6%,"No
"
3082,LIN9,1,1,494,0.2%,"No
"
3083,FAM98C,1,1,494,0.2%,"No
"
3084,C1ORF53,1,1,494,0.2%,"No
"
3085,CAPN12,1,1,494,0.2%,"No
"
3086,GLB1,3,3,494,0.6%,"No
"
3087,FBLL1,1,1,494,0.2%,"No
"
3088,LINC01098,1,1,494,0.2%,"No
"
3089,HAPLN1,1,1,494,0.2%,"No
"
3090,GLI1,4,4,494,0.8%,"Yes
"
3091,GLG1,2,2,494,0.4%,"No
"
3092,GLE1,1,1,494,0.2%,"No
"
3093,CRMP1,3,3,494,0.6%,"No
"
3094,GLDC,2,2,494,0.4%,"No
"
3095,CRYAA,1,1,494,0.2%,"No
"
3096,CRY2,4,3,494,0.6%,"No
"
3097,GLI3,3,3,494,0.6%,"No
"
3098,GLI2,3,3,494,0.6%,"No
"
3099,CLBA1,1,1,494,0.2%,"No
"
3100,PRR22,1,1,494,0.2%,"No
"
3101,OR9A2,1,1,494,0.2%,"No
"
3102,CRYBB2,1,1,494,0.2%,"No
"
3103,GLUD1,1,1,494,0.2%,"No
"
3104,MYG1,2,2,494,0.4%,"No
"
3105,GLRA2,3,3,494,0.6%,"No
"
